,Cells/Single Cells/APCs | Geometric Mean (Comp-BV605-A),Cells/Single Cells/APCs | Geometric Mean (Comp-FITC-A),Cells/Single Cells/APCs | Geometric Mean (Comp-PE ( 561 )-A),Cells/Single Cells/APCs | Count,Cells/Single Cells/APCs/CD86+ | Freq. of Parent (%),Cells/Single Cells/APCs/H2Kb+ | Freq. of Parent (%),Cells/Single Cells/APCs/PDL1+ | Freq. of Parent (%),Cells/Single Cells/TCells | Count,Cells/Single Cells/TCells | Geometric Mean (Comp-BUV737-A),Cells/Single Cells/TCells | Geometric Mean (Comp-BV605-A),Cells/Single Cells/TCells | Geometric Mean (Comp-PE-CF594-A),Cells/Single Cells/TCells | Geometric Mean (Comp-PE-Cy7-A),Cells/Single Cells/TCells | Geometric Mean (Comp-PerCP-Cy5-5-A),Cells/Single Cells/TCells/CD27+ | Freq. of Parent (%),Cells/Single Cells/TCells/CD54+ | Freq. of Parent (%),Cells/Single Cells/TCells/CD69+ | Freq. of Parent (%),Cells/Single Cells/TCells/PDL1+ | Freq. of Parent (%),
Specimen_001_A1_A01_001.fcs,18004,10627,14645,2048,89.2,92.3,91.8,21952,20944,2963,36209,12899,223,95.3,99.7,95.0,96.9,
Specimen_001_A2_A02_002.fcs,18322,14391,20391,9258,95.5,98.2,97.0,21649,3725,1657,16005,6350,26.3,94.1,99.8,75.0,83.9,
Specimen_001_A3_A03_003.fcs,12186,11460,13609,2381,93.2,95.0,93.0,19168,668,1203,6681,5316,0.20,94.5,99.9,24.1,64.2,
Specimen_001_A4_A04_004.fcs,9057,14040,10208,4420,95.8,96.6,95.0,14267,130,430,6611,3621,-2.21,93.6,99.3,1.83,5.78,
Specimen_001_A5_A05_005.fcs,14150,12826,14746,4555,95.3,96.4,94.9,2495,19814,3245,32311,11814,129,96.0,99.3,94.9,96.5,
Specimen_001_A6_A06_006.fcs,15071,15120,18387,10022,96.2,98.1,97.0,1914,9059,2684,20581,8432,107,92.7,99.1,88.4,94.4,
Specimen_001_A7_A07_007.fcs,8243,10719,9081,2846,91.4,91.9,88.2,2115,1143,1415,8529,4908,20.3,90.5,98.7,39.9,74.9,
Specimen_001_A8_A08_008.fcs,8958,13502,10318,4542,95.3,95.9,93.9,1615,146,630,5343,3575,0.82,91.5,98.1,3.34,13.6,
Specimen_001_A9_A09_009.fcs,10185,11367,11131,3643,93.3,94.6,92.5,228,9421,2965,14835,6775,133,85.1,96.1,87.3,90.8,
Specimen_001_A10_A10_010.fcs,9157,14560,14005,10854,96.3,97.7,96.0,193,4342,1926,6189,4183,44.3,75.6,90.2,71.5,79.8,
Specimen_001_A11_A11_011.fcs,8847,11045,10703,3288,92.9,94.3,92.3,175,1310,1440,4793,3428,16.3,77.1,92.6,46.3,72.6,
Specimen_001_A12_A12_012.fcs,8235,12792,9485,4259,94.3,95.4,93.5,180,345,1040,2890,2866,4.34,75.0,88.9,9.44,38.9,
Specimen_001_B1_B01_013.fcs,18771,11300,15820,2710,92.2,94.9,95.5,22011,20460,2711,32691,11206,155,95.3,99.8,95.5,96.8,
Specimen_001_B2_B02_014.fcs,15483,13966,18195,12108,97.5,98.7,97.8,20267,3206,1528,11566,5828,12.0,93.6,99.8,70.2,79.2,
Specimen_001_B3_B03_015.fcs,9335,11782,9473,3673,95.7,96.4,94.6,19836,709,1152,5541,4809,-1.48,92.1,99.8,25.4,59.7,
Specimen_001_B4_B04_016.fcs,6766,13126,5473,6397,97.3,94.0,93.2,14242,161,333,5135,2988,-2.58,92.6,99.2,2.35,2.65,
Specimen_001_B5_B05_017.fcs,9987,11858,9317,5092,95.3,95.2,94.7,2702,18690,2826,27789,9056,67.0,96.1,99.6,95.7,95.7,
Specimen_001_B6_B06_018.fcs,8432,14373,9777,14792,97.7,97.6,96.4,1999,6070,1809,12217,5697,20.7,91.7,98.7,84.4,85.3,
Specimen_001_B7_B07_019.fcs,7499,11093,6217,4245,94.2,92.9,92.1,2130,993,1221,8012,4471,6.84,90.6,98.1,33.6,59.2,
Specimen_001_B8_B08_020.fcs,6535,13007,4958,7005,96.5,92.5,91.2,1696,174,421,5077,3076,-0.88,90.8,97.4,2.59,5.31,
Specimen_001_B9_B09_021.fcs,7493,12279,6345,5244,95.5,94.2,92.9,253,9487,2314,11761,5503,53.1,87.4,92.1,89.3,86.6,
Specimen_001_B10_B10_022.fcs,7481,14390,8238,12362,97.0,97.5,95.6,209,4046,1968,3804,3101,41.7,69.9,82.3,72.7,74.2,
Specimen_001_B11_B11_023.fcs,6502,10905,5222,3591,92.6,91.6,90.3,167,1207,1070,4674,3749,9.03,79.0,94.6,41.3,44.3,
Specimen_001_B12_B12_024.fcs,6239,13621,4576,7584,95.2,92.5,92.0,239,418,823,2001,1898,14.6,66.1,79.9,18.8,26.8,
Specimen_001_C1_C01_025.fcs,16581,11384,11378,5612,93.9,95.9,96.0,24568,24744,3098,31222,12503,213,95.2,99.7,95.9,97.1,
Specimen_001_C2_C02_026.fcs,11120,13027,11063,21427,97.6,97.9,97.1,22836,2157,1462,9278,5680,15.9,92.6,99.5,58.0,76.9,
Specimen_001_C3_C03_027.fcs,4957,11538,4217,7372,96.2,90.7,86.1,22006,524,1058,4101,4522,0.30,85.0,99.6,18.7,50.4,
Specimen_001_C4_C04_028.fcs,3356,13292,1542,10877,97.5,68.9,68.1,16071,133,267,5771,2776,-1.36,91.8,99.1,1.49,1.81,
Specimen_001_C5_C05_029.fcs,5452,12647,4649,12019,97.5,92.7,88.9,2768,18000,2460,14576,8046,53.2,93.7,99.2,93.9,93.3,
Specimen_001_C6_C06_030.fcs,3695,13937,3761,27045,98.5,92.1,74.2,1855,2503,1359,7670,4741,11.9,89.4,97.7,59.9,67.7,
Specimen_001_C7_C07_031.fcs,4049,12147,2507,9010,96.4,81.3,76.9,2307,847,1170,6196,4202,6.18,89.4,97.0,29.4,56.3,
Specimen_001_C8_C08_032.fcs,3223,13039,1443,14699,97.1,66.2,65.7,1669,172,371,4976,2679,-1.43,86.9,95.4,3.54,5.33,
Specimen_001_C9_C09_033.fcs,3560,12176,1868,11431,97.1,74.7,71.5,279,4385,1744,4424,3422,23.5,75.3,87.1,72.8,75.3,
Specimen_001_C10_C10_034.fcs,3202,13930,2341,25876,97.9,82.8,63.9,285,2924,1652,1696,1671,37.0,51.9,60.4,68.1,71.9,
