,Cells/Single Cells/APCs | Geometric Mean (Comp-BV605-A),Cells/Single Cells/APCs | Geometric Mean (Comp-FITC-A),Cells/Single Cells/APCs | Geometric Mean (Comp-PE ( 561 )-A),Cells/Single Cells/APCs | Count,Cells/Single Cells/APCs/CD86+ | Freq. of Parent (%),Cells/Single Cells/APCs/H2Kb+ | Freq. of Parent (%),Cells/Single Cells/APCs/PDL1+ | Freq. of Parent (%),Cells/Single Cells/TCells | Count,Cells/Single Cells/TCells | Geometric Mean (Comp-BUV737-A),Cells/Single Cells/TCells | Geometric Mean (Comp-BV605-A),Cells/Single Cells/TCells | Geometric Mean (Comp-PE-CF594-A),Cells/Single Cells/TCells | Geometric Mean (Comp-PE-Cy7-A),Cells/Single Cells/TCells | Geometric Mean (Comp-PerCP-Cy5-5-A),Cells/Single Cells/TCells/CD27+ | Freq. of Parent (%),Cells/Single Cells/TCells/CD54+ | Freq. of Parent (%),Cells/Single Cells/TCells/CD69+ | Freq. of Parent (%),Cells/Single Cells/TCells/PDL1+ | Freq. of Parent (%),
Specimen_001_A1_A01_001.fcs,16489,14567,22824,4558,90.0,96.5,92.1,46115,2292,429,17187,3503,0.57,86.9,99.1,65.6,9.51,
Specimen_001_A2_A02_002.fcs,19845,16459,21508,16045,95.1,98.5,97.0,18670,4609,763,15588,6621,24.9,89.1,99.4,88.3,31.8,
Specimen_001_A3_A03_003.fcs,8866,15998,17634,11876,94.7,98.2,95.4,11371,1111,1187,3585,5581,-3.12,78.5,99.4,41.6,66.6,
Specimen_001_A4_A04_004.fcs,2440,19957,6905,29343,98.1,97.6,39.2,3954,524,1277,1510,4987,0.016,56.0,95.1,20.3,67.1,
Specimen_001_A5_A05_005.fcs,9445,18489,18362,15535,96.6,98.4,96.1,5559,3853,724,15279,4381,35.3,85.7,98.5,83.5,29.6,
Specimen_001_A6_A06_006.fcs,9698,17972,13346,27773,97.5,98.9,96.1,2534,6113,1365,16204,10055,175,87.0,97.8,94.7,59.7,
Specimen_001_A7_A07_007.fcs,3767,19335,11005,18826,97.8,98.7,67.5,1118,6305,1122,10650,6588,11.0,87.1,96.1,91.1,54.7,
Specimen_001_A8_A08_008.fcs,1966,20274,4365,27192,98.0,95.8,24.1,393,1255,1256,336,763,8.97,25.7,36.4,59.0,63.9,
Specimen_001_A9_A09_009.fcs,3622,19082,9634,20632,98.0,98.5,65.7,1173,5265,863,11496,3513,26.2,84.4,91.3,93.0,33.8,
Specimen_001_A10_A10_010.fcs,3111,16023,5116,26078,96.5,96.8,55.2,383,3930,2232,2365,4579,241,59.0,83.8,80.7,84.6,
Specimen_001_A11_A11_011.fcs,5426,18367,13934,18607,97.5,98.5,86.7,408,3967,1128,7140,3688,18.5,72.5,89.7,87.3,45.3,
Specimen_001_A12_A12_012.fcs,1763,20913,4202,24963,97.3,95.9,18.3,377,1589,1393,351,502,3.31,28.1,29.7,66.8,77.7,
Specimen_001_B1_B01_013.fcs,17670,14182,22260,5584,91.2,96.4,93.0,41500,2273,466,13815,3479,-3.01,83.8,99.0,65.3,10.9,
Specimen_001_B2_B02_014.fcs,21254,14937,19672,13898,95.3,98.2,96.9,11775,5348,965,17226,7976,44.2,89.2,99.2,91.3,44.7,
Specimen_001_B3_B03_015.fcs,6847,16876,14250,15909,96.5,98.2,92.8,14422,1176,1272,8142,4930,-7.66,93.5,99.5,43.5,73.1,
Specimen_001_B4_B04_016.fcs,1795,18838,2145,32244,98.7,81.0,20.8,1926,442,804,1141,3661,-0.65,45.5,91.4,15.6,28.6,
Specimen_001_B5_B05_017.fcs,10599,18050,16378,19833,97.8,98.6,97.0,5409,4835,831,14884,4649,59.4,86.9,97.8,88.6,34.4,
Specimen_001_B6_B06_018.fcs,8274,15367,5515,23262,97.3,96.3,94.2,1441,7270,1904,8341,10241,229,79.3,95.0,94.0,78.1,
Specimen_001_B7_B07_019.fcs,3496,17730,7773,23591,98.1,97.7,65.0,1321,4612,1285,7093,4265,8.16,80.5,87.7,88.0,56.4,
Specimen_001_B8_B08_020.fcs,1384,18535,653,31228,98.1,31.7,10.0,381,1072,922,555,1033,12.6,24.1,43.3,42.5,43.6,
Specimen_001_B9_B09_021.fcs,2394,17764,3973,26338,98.1,92.7,36.8,941,4882,810,10816,3317,28.4,87.4,89.9,91.3,32.0,
Specimen_001_B10_B10_022.fcs,1891,15018,715,33810,98.1,33.4,26.2,276,3246,1770,955,1928,102,34.8,48.2,78.6,77.2,
Specimen_001_B11_B11_023.fcs,1321,16741,614,27833,97.7,28.3,8.97,298,2265,1206,858,1043,31.7,27.9,37.6,68.5,58.4,
Specimen_001_B12_B12_024.fcs,1262,18667,388,36578,97.8,13.6,7.58,258,1028,993,-22.3,385,18.4,3.49,20.5,36.4,43.0,
Specimen_001_C1_C01_025.fcs,18913,14696,21837,9492,92.1,96.8,95.0,41434,2703,520,21944,3432,8.27,87.4,98.6,73.3,14.2,
Specimen_001_C2_C02_026.fcs,22430,12532,16470,17244,94.5,97.9,97.7,12108,7518,1436,18944,9865,88.4,92.4,99.5,95.2,72.1,
Specimen_001_C3_C03_027.fcs,6169,15675,12833,21562,96.3,98.2,89.9,8997,967,1334,7940,4947,-0.81,90.2,98.6,37.2,73.0,
Specimen_001_C4_C04_028.fcs,1079,13853,155,33045,98.9,3.09,6.17,1012,532,563,495,1895,8.49,24.9,75.7,19.9,19.0,
Specimen_001_C5_C05_029.fcs,10613,15691,15424,23744,96.7,98.9,97.3,3596,5947,958,14727,5584,70.8,86.6,97.2,93.5,39.1,
Specimen_001_C6_C06_030.fcs,4533,12927,1645,27513,97.7,65.8,75.1,799,6188,1784,4371,7827,65.1,73.0,91.2,86.5,78.6,
Specimen_001_C7_C07_031.fcs,7339,14316,12270,20467,95.6,97.9,93.1,917,3867,1618,10371,5430,43.7,81.8,91.1,82.2,67.1,
Specimen_001_C8_C08_032.fcs,1065,14800,164,33247,98.8,3.13,5.60,175,875,780,411,1039,14.3,21.1,49.7,38.3,33.7,
Specimen_001_C9_C09_033.fcs,4036,15698,7414,25282,97.3,97.6,73.9,414,5290,1744,6758,4817,78.0,79.2,78.7,84.8,74.2,
Specimen_001_C10_C10_034.fcs,1480,12171,266,30289,97.8,8.90,16.6,204,2491,1330,796,1824,42.4,29.4,55.4,67.2,57.4,
Specimen_001_C11_C11_035.fcs,1272,14041,616,34086,95.9,28.9,8.79,359,1637,1130,761,884,27.1,25.3,32.0,47.6,48.5,
Specimen_001_C12_C12_036.fcs,1008,14523,74.9,38868,98.5,1.07,4.74,389,1216,870,0.023,310,15.7,1.80,14.4,48.8,32.4,
Specimen_001_D1_D01_037.fcs,20984,11257,20440,17288,88.8,98.0,97.3,23101,6619,1029,25838,5946,43.5,93.5,99.1,91.5,50.0,
Specimen_001_D2_D02_038.fcs,21584,10701,6590,18967,96.1,95.9,98.6,5287,4001,1984,4811,8454,9.16,88.4,98.4,72.2,90.8,
Specimen_001_D3_D03_039.fcs,13883,11054,13725,18143,93.4,98.0,97.5,8497,808,1574,6406,4830,-2.68,93.4,98.9,31.2,86.1,
Specimen_001_D4_D04_040.fcs,818,10998,31.3,41047,98.7,0.19,3.15,1327,630,568,621,1445,5.81,32.0,61.1,25.2,15.5,
Specimen_001_D5_D05_041.fcs,18425,12029,12766,22625,96.3,98.8,98.7,1335,12601,1787,13715,8906,71.8,89.8,93.7,94.6,75.2,
Specimen_001_D6_D06_042.fcs,2367,9571,938,23706,96.5,45.6,39.0,574,3384,1659,2817,4676,29.2,61.1,83.3,70.2,74.7,
